# CEFT EOS from Table 5 in https://arxiv.org/pdf/1303.4662, n/n0 and pc2 are independent vars, first set is soft EOS, second set is intermediate, last is stiff 
# n/n0 ρc2 P E ϵ R M P E ϵ R M P E ϵ R M 
0.5792 87.07 0.4470 87.90 8.920 3260 0.53 0.4470 87.90 8.920 3260 0.53 0.6960 87.99 9.937 77.04 0.10
0.7124 107.1 0.7162 108.2 10.06 248.8 0.10 0.7162 108.2 10.06 248.8 0.10 1.150 108.4 11.75 29.32 0.13
0.7861 118.1 0.9094 119.5 10.73 85.17 0.10 0.9094 119.5 10.73 85.17 0.10 1.473 119.7 12.82 23.22 0.15
0.8646 129.9 1.154 131.5 11.47 47.29 0.10 1.154 131.5 11.47 47.29 0.10 1.880 131.9 14.03 19.72 0.18
0.9483 142.5 1.464 144.4 12.31 32.05 0.12 1.464 144.4 12.31 32.05 0.12 2.392 144.8 15.38 17.50 0.20
1.0371 155.9 1.851 158.0 13.24 24.36 0.13 1.851 158.0 13.24 24.36 0.13 3.028 158.7 16.91 16.02 0.23
1.1 165.3 2.163 167.8 13.94 21.15 0.14 2.163 167.8 13.94 21.15 0.14 3.542 168.5 18.04 15.29 0.26
1.2 180.4 2.465 183.3 14.99 19.26 0.15 3.064 183.3 15.12 16.57 0.17 5.240 184.2 20.05 13.98 0.34
1.3 195.4 2.780 198.8 16.04 18.00 0.16 4.220 198.9 16.57 14.23 0.22 7.512 200.1 22.57 13.33 0.45
1.4 210.5 3.106 214.3 17.05 17.08 0.17 5.677 214.6 18.25 13.01 0.28 10.48 216.2 25.63 13.09 0.58
1.5 225.5 3.445 229.8 18.03 16.36 0.17 7.481 230.3 20.19 12.37 0.34 14.30 232.5 29.28 13.07 0.73
1.6 240.5 3.795 245.4 18.97 15.80 0.18 9.684 246.3 22.41 12.04 0.42 20.39 249.2 33.74 13.22 0.96
1.7 255.6 4.157 261.0 19.88 15.32 0.18 12.34 262.3 24.93 11.89 0.51 28.47 266.3 39.30 13.47 1.22
1.8 270.6 4.529 276.6 20.77 14.92 0.19 15.51 278.6 27.76 11.85 0.61 38.98 283.9 46.12 13.75 1.50
1.9 285.6 4.911 292.2 21.63 14.57 0.19 19.25 295.0 30.92 11.87 0.71 52.49 302.2 54.41 14.01 1.79
2.0 300.7 5.304 307.9 22.47 14.26 0.20 23.64 311.7 34.43 11.93 0.82 69.59 321.3 64.37 14.23 2.07
